Martin packaging metrics,joi, 12 ian. 2023 10:14:48 EET
Package,A,Ca,Ce,D,I
sn.socialnetwork,"0,00",0,2,"0,00","1,00"
sn.socialnetwork.controller,"0,00",4,154,"0,03","0,97"
sn.socialnetwork.domain,"0,00",326,0,"1,00","0,00"
sn.socialnetwork.domain.validators,"0,14",24,26,"0,34","0,52"
sn.socialnetwork.factory,"0,00",9,10,"0,47","0,53"
sn.socialnetwork.repo,"0,25",33,124,"0,04","0,79"
sn.socialnetwork.reports,"0,00",47,1,"0,98","0,02"
sn.socialnetwork.reports.actions,"0,00",3,18,"0,14","0,86"
sn.socialnetwork.service,"0,20",24,150,"0,06","0,86"
sn.socialnetwork.ui,"0,00",4,4,"0,50","0,50"
sn.socialnetwork.utils,"0,00",16,0,"1,00","0,00"
sn.socialnetwork.utils.find_strategies,"1,00",0,1,"1,00","1,00"

