Complexity metrics,joi, 12 ian. 2023 10:26:12 EET
Method,CogC,ev(G),iv(G),v(G)
sn.socialnetwork.Main.main(String[]),0,1,1,1
sn.socialnetwork.controller.Globals.getNetwork(),0,1,1,1
sn.socialnetwork.controller.LoginViewController.displayError(String),0,1,1,1
sn.socialnetwork.controller.LoginViewController.loginButtonClicked(),1,2,2,2
"sn.socialnetwork.controller.LoginViewController.setCredentials(String, String)",0,1,1,1
"sn.socialnetwork.controller.SocialNetworkController.createStage(String, int, int)",1,1,1,2
sn.socialnetwork.controller.SocialNetworkController.getNetwork(),0,1,1,1
sn.socialnetwork.controller.SocialNetworkController.getStage(Control),0,1,1,1
sn.socialnetwork.controller.SocialNetworkController.setNetwork(Network),0,1,1,1
sn.socialnetwork.controller.SocialNetworkController.showErrorBox(String),2,1,2,2
sn.socialnetwork.controller.UserViewController.acceptRequestButtonClicked(),1,2,1,2
sn.socialnetwork.controller.UserViewController.chatFriendsTableClicked(),0,1,1,1
sn.socialnetwork.controller.UserViewController.discAddFriendButtonClicked(),1,1,2,2
sn.socialnetwork.controller.UserViewController.discTableMouseClicked(),1,2,2,2
sn.socialnetwork.controller.UserViewController.discoverFilter(),2,1,3,3
sn.socialnetwork.controller.UserViewController.friendsTableClicked(),2,2,2,3
sn.socialnetwork.controller.UserViewController.fshipsTableClicked(),2,2,2,3
sn.socialnetwork.controller.UserViewController.getUser(),0,1,1,1
sn.socialnetwork.controller.UserViewController.initChatFriendsTable(),0,1,1,1
sn.socialnetwork.controller.UserViewController.initChatListView(),15,1,4,5
sn.socialnetwork.controller.UserViewController.initDiscover(),0,1,1,1
sn.socialnetwork.controller.UserViewController.initFriendsTable(),3,2,2,3
sn.socialnetwork.controller.UserViewController.initRequestsTable(),2,2,1,2
sn.socialnetwork.controller.UserViewController.initTabsUI(),3,2,1,2
sn.socialnetwork.controller.UserViewController.initialize(),0,1,1,1
sn.socialnetwork.controller.UserViewController.loadChatListView(),1,2,1,2
sn.socialnetwork.controller.UserViewController.loginAsFriendButtonClicked(),1,2,1,2
sn.socialnetwork.controller.UserViewController.logoutButtonClicked(),0,1,1,1
sn.socialnetwork.controller.UserViewController.refreshFriends(),0,1,1,1
